delivery_days,delay_days,is_late,payment_value,payment_installments,payment_type,total_price,freight_value,freight_ratio,customer_state,product_weight_g,product_photos_qty,product_description_lenght,product_volume,review_label
6.0,-16.0,0,397.26,8.0,1,370.0,27.26,0.07367567567567568,25,1300.0,1.0,858.0,31500.0,1
9.0,-5.0,0,88.09,1.0,1,79.79,8.3,0.10402306053390149,25,245.0,1.0,493.0,3724.0,1
13.0,-21.0,0,194.12,1.0,1,149.0,45.12,0.30281879194630873,4,6550.0,1.0,1893.0,8000.0,1
10.0,-20.0,0,222.84,1.0,1,179.99,42.85,0.2380687815989777,23,7650.0,2.0,2188.0,8000.0,1
18.0,-9.0,0,1333.25,10.0,1,1199.0,134.25,0.11196830692243537,23,9850.0,5.0,562.0,183750.0,1
5.0,-21.0,0,462.7,1.0,1,418.70000000000005,44.0,0.10508717458801049,25,937.5,1.75,326.5,9041.5,0
14.0,-19.0,0,58.75,2.0,1,46.9,11.85,0.2526652452025586,25,600.0,1.0,133.0,4800.0,1
5.0,-58.0,0,198.96,3.0,1,139.9,59.06,0.42215868477483914,18,8450.0,9.0,1213.0,9360.0,1
8.0,-14.0,0,102.03,3.0,1,89.9,12.13,0.13492769744160177,25,1825.0,1.0,176.0,21200.0,1
7.0,-16.0,0,613.25,8.0,1,586.56,26.69,0.04550259138025096,25,1450.0,4.0,3839.0,13824.0,1
8.0,-24.0,0,136.99,1.0,1,119.99,17.0,0.14167847320610052,10,887.0,1.0,1024.0,13200.0,1
12.0,-15.0,0,682.5,1.0,0,609.5,73.0,0.11977030352748154,10,250.0,1.0,1367.0,1452.0,1
3.0,-11.0,0,42.78,2.0,1,35.0,7.78,0.22228571428571428,25,200.0,1.0,356.0,836.0,1
6.0,-14.0,0,46.96,1.0,1,24.9,22.06,0.8859437751004016,4,175.0,1.0,810.0,1596.0,1
5.0,-12.0,0,67.72,1.0,1,45.8,21.919999999999998,0.47860262008733623,25,300.0,3.0,365.0,3456.0,0
3.0,-16.0,0,103.06,1.0,1,89.99,13.07,0.14523835981775754,25,850.0,4.0,1923.0,4125.0,1
63.0,35.0,1,188.65,4.0,1,166.99,21.66,0.1297083657704054,18,2350.0,1.0,1620.0,10240.0,0
2.0,-10.0,0,30.19,1.0,1,21.9,8.29,0.3785388127853881,25,150.0,1.0,391.0,2800.0,1
9.0,-12.0,0,170.03,1.0,1,153.2,16.83,0.10985639686684073,10,450.0,1.0,565.0,2496.0,0
21.0,-6.0,0,171.53,4.0,1,149.99,21.54,0.1436095739715981,10,1700.0,1.0,1150.0,13068.0,1
17.0,-6.0,0,312.78,4.0,1,266.67,46.11,0.17291033862076724,10,200.0,1.0,219.0,3795.0,1
4.0,-14.0,0,65.24,2.0,1,51.67,13.57,0.2626282175343526,18,200.0,2.0,1064.0,1408.0,1
10.0,-6.0,0,172.52,1.0,0,159.9,12.62,0.0789243277048155,25,584.0,3.0,523.0,2288.0,1
9.0,-14.0,0,79.56,1.0,1,59.9,19.66,0.3282136894824708,4,4400.0,5.0,651.0,14664.0,1
7.0,-15.0,0,45.09,4.0,1,29.99,15.1,0.5035011670556853,10,100.0,1.0,428.0,627.0,1
13.0,-13.0,0,195.13,1.0,1,158.7,36.43,0.22955261499684942,7,538.0,5.0,3734.0,9384.0,1
4.0,-19.0,0,179.87,1.0,1,139.9,39.97,0.2857040743388134,4,5700.0,3.0,1184.0,3900.0,1
18.0,-1.0,0,80.33,8.0,1,65.0,15.33,0.23584615384615384,6,150.0,7.0,221.0,352.0,1
18.0,-6.0,0,188.4,4.0,1,159.9,28.5,0.17823639774859287,18,3400.0,1.0,729.0,18000.0,0
6.0,-15.0,0,61.85,1.0,0,50.0,11.85,0.237,25,100.0,1.0,558.0,612.0,1
11.0,-13.0,0,76.08,1.0,3,59.9,16.18,0.2701168614357262,25,700.0,3.0,1266.0,3150.0,1
25.0,5.0,1,154.67,6.0,1,137.0,17.67,0.12897810218978104,22,950.0,2.0,2852.0,9600.0,0
10.0,-7.0,0,92.86,9.0,1,85.0,7.86,0.09247058823529412,25,300.0,1.0,950.0,4256.0,1
19.0,-8.0,0,56.96,1.0,1,34.9,22.06,0.6320916905444126,4,300.0,2.0,460.0,3648.0,1
14.0,-3.0,0,122.25,1.0,0,86.69999999999999,35.55,0.4100346020761246,25,266.0,1.0,417.0,2240.0,1
11.0,-17.0,0,58.34,1.0,1,41.0,17.34,0.42292682926829267,25,5450.0,2.0,1581.0,27000.0,1
8.0,-12.0,0,162.48,1.0,0,149.0,13.48,0.09046979865771812,25,300.0,4.0,458.0,1280.0,1
11.0,-8.0,0,752.21,4.0,1,682.98,69.23,0.10136460804123108,15,6100.0,4.0,2282.0,36000.0,1
38.0,5.0,1,296.89,2.0,1,203.0,93.88,0.4624630541871921,16,1333.3333333333333,1.0,1338.0,14816.666666666666,0
18.0,-9.0,0,67.23,1.0,3,49.0,18.23,0.37204081632653063,18,250.0,3.0,578.0,640.0,0
45.0,13.0,1,298.19,8.0,1,278.0,20.19,0.07262589928057554,18,987.0,1.0,262.0,15625.0,0
7.0,-10.0,0,65.71,2.0,1,56.99,8.72,0.15300929987717143,25,250.0,2.0,1536.0,3360.0,1
2.0,-8.0,0,66.05,6.0,1,54.9,11.15,0.20309653916211295,25,1700.0,1.0,2126.0,7590.0,1
11.0,-9.0,0,116.98,5.0,1,104.0,12.98,0.12480769230769231,23,400.0,3.0,873.0,4536.0,1
